"TankID","TreatCode","UrchinID","GI.dm","GI.afdm"
"1","Ambient","T1-C1a",0.136775362318841,0.482993197278912
"1","Ambient","T1-C1b",0.136521739130435,0.488524590163934
"1","Ambient","T1-C2a",0.097678916827853,0.436936936936937
"1","Ambient","T1-C2b",0.167521367521368,0.552238805970149
"1","Ambient","T1-C3a",0.112950340798442,0.436
"1","Ambient","T1-C3b",0.111436950146628,0.43452380952381
"1","Ambient","T1-C4a",0.157937806873977,0.532163742690059
"1","Ambient","T1-C4b",0.121590909090909,0.512690355329949
"1","Ambient","T1-C5a",0.125384615384615,0.556363636363637
"1","Ambient","T1-C5b",0.118980169971671,0.468503937007874
"1","Ambient","T1-C6a",0.135043889264011,0.56379821958457
"1","Ambient","T1-C6b",0.162045060658579,0.56687898089172
"2","Cyc3","T2-C1a",0.0914285714285714,0.393782383419689
"2","Cyc3","T2-C1b",0.125375375375375,0.4875
"2","Cyc3","T2-C2a",0.115215479331574,0.504166666666667
"2","Cyc3","T2-C2b",0.0786324786324786,0.402843601895735
"2","Cyc3","T2-C3a",0.12822966507177,0.466666666666667
"2","Cyc3","T2-C3b",0.162695152013147,0.52808988764045
"2","Cyc3","T2-C4a",0.0906011854360711,0.383399209486166
"2","Cyc3","T2-C4b",0.121468926553672,0.454198473282443
"2","Cyc3","T2-C5a",0.14572864321608,0.511627906976744
"2","Cyc3","T2-C5b",0.115953307392996,0.471380471380472
"2","Cyc3","T2-C6a",0.0937984496124031,0.425287356321839
"2","Cyc3","T2-C6b",0.0879732739420935,0.381443298969072
"3","Constant","T3-C1a",0.0998573466476462,0.432343234323433
"3","Constant","T3-C1b",0.0828220858895705,0.348754448398577
"3","Constant","T3-C2a",0.0777777777777778,0.343137254901961
"3","Constant","T3-C2b",0.0964378801042572,0.416
"3","Constant","T3-C3a",0.0992851469420175,0.385135135135135
"3","Constant","T3-C3b",0.0795724465558195,0.344632768361582
"3","Constant","T3-C4a",0.101077050538525,0.420454545454546
"3","Constant","T3-C4b",0.120076849183477,0.432432432432432
"3","Constant","T3-C5a",0.109576427255985,0.439834024896266
"3","Constant","T3-C5b",0.105360443622921,0.418032786885246
"3","Constant","T3-C6a",0.0904806786050895,0.378995433789954
"3","Constant","T3-C6b",0.0762411347517731,0.396984924623116
"4","Cyc6","T4-C1a",0.108653846153846,0.445887445887446
"4","Cyc6","T4-C1b",0.110985277463194,0.448979591836735
"4","Cyc6","T4-C2a",0.101642710472279,0.448780487804878
"4","Cyc6","T4-C2b",0.0890725436179982,0.400900900900901
"4","Cyc6","T4-C3a",0.0968564146134239,0.357377049180328
"4","Cyc6","T4-C3b",0.122231337161608,0.552845528455285
"4","Cyc6","T4-C4a",0.124643196955281,0.495798319327731
"4","Cyc6","T4-C4b",0.113570741097209,0.46875
"4","Cyc6","T4-C5a",0.142021720969089,0.495081967213115
"4","Cyc6","T4-C5b",0.111298482293423,0.413919413919414
"4","Cyc6","T4-C6a",0.103448275862069,0.428571428571428
"4","Cyc6","T4-C6b",0.139731827805222,0.505464480874317
"9","Ambient","T5-C1a",0.14795008912656,0.511705685618729
"9","Ambient","T5-C1b",0.101346562721474,0.414860681114551
"9","Ambient","T5-C2a",0.0927835051546392,0.432314410480349
"9","Ambient","T5-C2b",0.120798319327731,0.46875
"9","Ambient","T5-C3a",0.111580726965342,0.464150943396227
"9","Ambient","T5-C3b",0.0988847583643123,0.455555555555556
"9","Ambient","T5-C4a",0.168494516450648,0.557894736842105
"9","Ambient","T5-C4b",0.122540250447227,0.414965986394558
"9","Ambient","T5-C5a",0.118367346938776,0.468354430379747
"9","Ambient","T5-C5b",0.123649459783914,0.458937198067633
"9","Ambient","T5-C6a",0.201929260450161,0.580321285140562
"9","Ambient","T5-C6b",0.164519326065411,0.559259259259259
"10","Cyc3","T6-C1a",0.0991831971995332,0.440860215053763
"10","Cyc3","T6-C1b",0.0726950354609929,0.352380952380952
"10","Cyc3","T6-C2a",0.108454312553373,0.437735849056604
"10","Cyc3","T6-C2b",0.0609756097560976,0.324137931034483
"10","Cyc3","T6-C3a",0.100925925925926,0.420833333333333
"10","Cyc3","T6-C3b",0.091533180778032,0.419230769230769
"10","Cyc3","T6-C4a",0.0921348314606741,0.405594405594406
"10","Cyc3","T6-C4b",0.0922930542340628,0.418604651162791
"10","Cyc3","T6-C5a",0.10824230387289,0.446428571428572
"10","Cyc3","T6-C5b",0.0784313725490196,0.337837837837838
"10","Cyc3","T6-C6a",0.111566858080394,0.471910112359551
"10","Cyc3","T6-C6b",0.0725738396624473,0.364055299539171
"11","Constant","T7-C1a",0.0780141843971631,0.383333333333334
"11","Constant","T7-C1b",0.115025906735751,0.461187214611872
"11","Constant","T7-C2a",0.11302475780409,0.417040358744395
"11","Constant","T7-C2b",0.0974619289340101,0.390697674418605
"11","Constant","T7-C3a",0.129989764585466,0.47008547008547
"11","Constant","T7-C3b",0.101374570446735,0.426829268292683
"11","Constant","T7-C4a",0.077536231884058,0.378787878787879
"11","Constant","T7-C4b",0.0984848484848485,0.415458937198068
"11","Constant","T7-C5a",0.0749219562955255,0.345549738219895
"11","Constant","T7-C5b",0.103238866396761,0.438356164383562
"11","Constant","T7-C6a",0.0864381520119225,0.402173913043478
"11","Constant","T7-C6b",0.0544502617801047,0.268571428571429
"12","Cyc6","T8-C1a",0.182652210175146,0.555858310626703
"12","Cyc6","T8-C1b",0.192600652883569,0.552901023890785
"12","Cyc6","T8-C2a",0.105322763306908,0.416666666666667
"12","Cyc6","T8-C2b",0.117279124315872,0.492481203007519
"12","Cyc6","T8-C3a",0.111584932480455,0.45625
"12","Cyc6","T8-C3b",0.120689655172414,0.433198380566802
"12","Cyc6","T8-C4a",0.118684843624699,0.475694444444445
"12","Cyc6","T8-C4b",0.113192182410423,0.454861111111111
"12","Cyc6","T8-C5a",0.135009310986965,0.476702508960574
"12","Cyc6","T8-C5b",0.107348703170029,0.420245398773006
"12","Cyc6","T8-C6a",0.0966643975493533,0.42483660130719
"12","Cyc6","T8-C6b",0.119294605809129,0.482142857142857
